����,������,�Ƕ�ռ����,��ռ����,�Ƕ�ռ���� %,��ռ���� %,ģ����,
0,"���������.exe","1,691",0,100.00,0.00,"",
0,"[ntdll.dll]","1,410",0,83.38,0.00,"ntdll.dll",
1,"[ntdll.dll]","1,410",0,83.38,0.00,"ntdll.dll",
2,"[mscoree.dll]","1,064",0,62.92,0.00,"mscoree.dll",
3,"[mscoree.dll]","1,064",0,62.92,0.00,"mscoree.dll",
4,"[mscoreei.dll]","1,064",0,62.92,0.00,"mscoreei.dll",
5,"[clr.dll]","1,064",0,62.92,0.00,"clr.dll",
6,"[clr.dll]","1,064",0,62.92,0.00,"clr.dll",
7,"[clr.dll]","1,064",0,62.92,0.00,"clr.dll",
8,"[clr.dll]","1,064",0,62.92,0.00,"clr.dll",
9,"[clr.dll]","1,064",0,62.92,0.00,"clr.dll",
10,"[clr.dll]","1,013",0,59.91,0.00,"clr.dll",
11,"[clr.dll]","1,013",0,59.91,0.00,"clr.dll",
12,"[clr.dll]","1,013",0,59.91,0.00,"clr.dll",
13,"[clr.dll]","1,013",0,59.91,0.00,"clr.dll",
14,"���������.App+Program.Main",967,0,57.19,0.00,"���������.exe",
15,"[PresentationFramework.ni.dll]",967,0,57.19,0.00,"PresentationFramework.ni.dll",
16,"[PresentationFramework.ni.dll]",967,0,57.19,0.00,"PresentationFramework.ni.dll",
17,"[PresentationFramework.ni.dll]",967,0,57.19,0.00,"PresentationFramework.ni.dll",
18,"[WindowsBase.ni.dll]",967,0,57.19,0.00,"WindowsBase.ni.dll",
19,"[WindowsBase.ni.dll]",966,1,57.13,0.06,"WindowsBase.ni.dll",
20,"[WindowsBase.ni.dll]",964,4,57.01,0.24,"WindowsBase.ni.dll",
21,"[user32.dll]",709,0,41.93,0.00,"user32.dll",
22,"[user32.dll]",374,5,22.12,0.30,"user32.dll",
23,"[user32.dll]",347,2,20.52,0.12,"user32.dll",
24,"[user32.dll]",331,1,19.57,0.06,"user32.dll",
25,"[δ֪]",184,1,10.88,0.06,"[δ֪]",
26,"[WindowsBase.ni.dll]",183,1,10.82,0.06,"WindowsBase.ni.dll",
27,"[WindowsBase.ni.dll]",180,0,10.64,0.00,"WindowsBase.ni.dll",
28,"[WindowsBase.ni.dll]",155,0,9.17,0.00,"WindowsBase.ni.dll",
29,"[WindowsBase.ni.dll]",155,0,9.17,0.00,"WindowsBase.ni.dll",
30,"[WindowsBase.ni.dll]",155,0,9.17,0.00,"WindowsBase.ni.dll",
31,"[WindowsBase.ni.dll]",154,2,9.11,0.12,"WindowsBase.ni.dll",
32,"[WindowsBase.ni.dll]",133,2,7.87,0.12,"WindowsBase.ni.dll",
33,"[WindowsBase.ni.dll]",129,2,7.63,0.12,"WindowsBase.ni.dll",
34,"[WindowsBase.ni.dll]",125,0,7.39,0.00,"WindowsBase.ni.dll",
35,"[WindowsBase.ni.dll]",117,1,6.92,0.06,"WindowsBase.ni.dll",
36,"[mscorlib.ni.dll]",77,2,4.55,0.12,"mscorlib.ni.dll",
37,"[mscorlib.ni.dll]",75,0,4.44,0.00,"mscorlib.ni.dll",
38,"[WindowsBase.ni.dll]",72,0,4.26,0.00,"WindowsBase.ni.dll",
39,"[WindowsBase.ni.dll]",71,0,4.20,0.00,"WindowsBase.ni.dll",
40,"[WindowsBase.ni.dll]",70,0,4.14,0.00,"WindowsBase.ni.dll",
41,"[WindowsBase.ni.dll]",65,0,3.84,0.00,"WindowsBase.ni.dll",
42,"[PresentationCore.ni.dll]",38,0,2.25,0.00,"PresentationCore.ni.dll",
43,"[PresentationCore.ni.dll]",38,0,2.25,0.00,"PresentationCore.ni.dll",
44,"[PresentationCore.ni.dll]",37,0,2.19,0.00,"PresentationCore.ni.dll",
45,"[PresentationCore.ni.dll]",37,1,2.19,0.06,"PresentationCore.ni.dll",
46,"[PresentationCore.ni.dll]",32,0,1.89,0.00,"PresentationCore.ni.dll",
47,"[PresentationCore.ni.dll]",31,2,1.83,0.12,"PresentationCore.ni.dll",
48,"[PresentationCore.ni.dll]",26,2,1.54,0.12,"PresentationCore.ni.dll",
49,"[WindowsBase.ni.dll]",14,2,0.83,0.12,"WindowsBase.ni.dll",
50,"[WindowsBase.ni.dll]",12,0,0.71,0.00,"WindowsBase.ni.dll",
51,"[PresentationFramework.ni.dll]",12,1,0.71,0.06,"PresentationFramework.ni.dll",
52,"[WindowsBase.ni.dll]",10,0,0.59,0.00,"WindowsBase.ni.dll",
53,"[PresentationFramework.ni.dll]",10,0,0.59,0.00,"PresentationFramework.ni.dll",
54,"[PresentationFramework.ni.dll]",10,0,0.59,0.00,"PresentationFramework.ni.dll",
55,"[PresentationFramework.ni.dll]",10,0,0.59,0.00,"PresentationFramework.ni.dll",
56,"[PresentationCore.ni.dll]",9,0,0.53,0.00,"PresentationCore.ni.dll",
57,"[PresentationCore.ni.dll]",9,0,0.53,0.00,"PresentationCore.ni.dll",
58,"[PresentationCore.ni.dll]",4,1,0.24,0.06,"PresentationCore.ni.dll",
59,"[PresentationCore.ni.dll]",2,0,0.12,0.00,"PresentationCore.ni.dll",
60,"[WindowsBase.ni.dll]",1,1,0.06,0.06,"WindowsBase.ni.dll",
60,"[PresentationCore.ni.dll]",1,0,0.06,0.00,"PresentationCore.ni.dll",
61,"[PresentationCore.ni.dll]",1,0,0.06,0.00,"PresentationCore.ni.dll",
62,"[mscorlib.ni.dll]",1,1,0.06,0.06,"mscorlib.ni.dll",
59,"[clr.dll]",1,1,0.06,0.06,"clr.dll",
58,"[PresentationFramework.ni.dll]",4,1,0.24,0.06,"PresentationFramework.ni.dll",
59,"[PresentationFramework.ni.dll]",3,2,0.18,0.12,"PresentationFramework.ni.dll",
60,"[PresentationCore.ni.dll]",1,0,0.06,0.00,"PresentationCore.ni.dll",
61,"[PresentationCore.ni.dll]",1,0,0.06,0.00,"PresentationCore.ni.dll",
62,"[PresentationCore.ni.dll]",1,0,0.06,0.00,"PresentationCore.ni.dll",
63,"[clr.dll]",1,1,0.06,0.06,"clr.dll",
58,"[clr.dll]",1,1,0.06,0.06,"clr.dll",
56,"[WindowsBase.ni.dll]",1,0,0.06,0.00,"WindowsBase.ni.dll",
57,"[WindowsBase.ni.dll]",1,0,0.06,0.00,"WindowsBase.ni.dll",
58,"[WindowsBase.ni.dll]",1,0,0.06,0.00,"WindowsBase.ni.dll",
59,"[clr.dll]",1,1,0.06,0.06,"clr.dll",
52,"[PresentationFramework.ni.dll]",1,0,0.06,0.00,"PresentationFramework.ni.dll",
53,"[PresentationFramework.ni.dll]",1,1,0.06,0.06,"PresentationFramework.ni.dll",
49,"[PresentationCore.ni.dll]",8,2,0.47,0.12,"PresentationCore.ni.dll",
50,"[PresentationCore.ni.dll]",4,0,0.24,0.00,"PresentationCore.ni.dll",
51,"[PresentationCore.ni.dll]",3,1,0.18,0.06,"PresentationCore.ni.dll",
52,"[clr.dll]",1,1,0.06,0.06,"clr.dll",
52,"[PresentationCore.ni.dll]",1,1,0.06,0.06,"PresentationCore.ni.dll",
51,"[clr.dll]",1,0,0.06,0.00,"clr.dll",
52,"[clr.dll]",1,0,0.06,0.00,"clr.dll",
53,"[clr.dll]",1,0,0.06,0.00,"clr.dll",
54,"[clr.dll]",1,0,0.06,0.00,"clr.dll",
55,"[clr.dll]",1,0,0.06,0.00,"clr.dll",
56,"[clr.dll]",1,0,0.06,0.00,"clr.dll",
57,"[clr.dll]",1,0,0.06,0.00,"clr.dll",
58,"[clr.dll]",1,0,0.06,0.00,"clr.dll",
59,"[vcruntime140_clr0400.dll]",1,1,0.06,0.06,"vcruntime140_clr0400.dll",
50,"[WindowsBase.ni.dll]",2,0,0.12,0.00,"WindowsBase.ni.dll",
51,"[WindowsBase.ni.dll]",1,1,0.06,0.06,"WindowsBase.ni.dll",
51,"[δ֪]",1,1,0.06,0.06,"[δ֪]",
49,"[clr.dll]",2,2,0.12,0.12,"clr.dll",
48,"[PresentationFramework.ni.dll]",1,1,0.06,0.06,"PresentationFramework.ni.dll",
48,"[clr.dll]",1,1,0.06,0.06,"clr.dll",
48,"[WindowsBase.ni.dll]",1,1,0.06,0.06,"WindowsBase.ni.dll",
47,"[PresentationFramework.ni.dll]",1,0,0.06,0.00,"PresentationFramework.ni.dll",
48,"[WindowsBase.ni.dll]",1,0,0.06,0.00,"WindowsBase.ni.dll",
49,"[WindowsBase.ni.dll]",1,0,0.06,0.00,"WindowsBase.ni.dll",
50,"[clr.dll]",1,1,0.06,0.06,"clr.dll",
46,"[clr.dll]",3,1,0.18,0.06,"clr.dll",
47,"[clr.dll]",2,2,0.12,0.12,"clr.dll",
46,"[δ֪]",1,1,0.06,0.06,"[δ֪]",
44,"[WindowsBase.ni.dll]",1,1,0.06,0.06,"WindowsBase.ni.dll",
42,"[WindowsBase.ni.dll]",27,0,1.60,0.00,"WindowsBase.ni.dll",
43,"[PresentationCore.ni.dll]",24,2,1.42,0.12,"PresentationCore.ni.dll",
44,"[PresentationCore.ni.dll]",20,3,1.18,0.18,"PresentationCore.ni.dll",
45,"[PresentationCore.ni.dll]",10,0,0.59,0.00,"PresentationCore.ni.dll",
46,"[wpfgfx_v0400.dll]",5,0,0.30,0.00,"wpfgfx_v0400.dll",
47,"[wpfgfx_v0400.dll]",5,0,0.30,0.00,"wpfgfx_v0400.dll",
48,"[wpfgfx_v0400.dll]",5,0,0.30,0.00,"wpfgfx_v0400.dll",
49,"[wpfgfx_v0400.dll]",5,0,0.30,0.00,"wpfgfx_v0400.dll",
50,"[wpfgfx_v0400.dll]",5,0,0.30,0.00,"wpfgfx_v0400.dll",
51,"[wpfgfx_v0400.dll]",5,1,0.30,0.06,"wpfgfx_v0400.dll",
52,"[wpfgfx_v0400.dll]",4,1,0.24,0.06,"wpfgfx_v0400.dll",
53,"[ntdll.dll]",1,1,0.06,0.06,"ntdll.dll",
53,"[KernelBase.dll]",1,0,0.06,0.00,"KernelBase.dll",
54,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
55,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
56,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
57,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
58,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
59,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
60,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
61,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
62,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
63,"[wow64cpu.dll]",1,1,0.06,0.06,"wow64cpu.dll",
53,"[wpfgfx_v0400.dll]",1,0,0.06,0.00,"wpfgfx_v0400.dll",
54,"[wpfgfx_v0400.dll]",1,0,0.06,0.00,"wpfgfx_v0400.dll",
55,"[wpfgfx_v0400.dll]",1,1,0.06,0.06,"wpfgfx_v0400.dll",
46,"[PresentationCore.ni.dll]",5,0,0.30,0.00,"PresentationCore.ni.dll",
47,"[wpfgfx_v0400.dll]",5,0,0.30,0.00,"wpfgfx_v0400.dll",
48,"[wpfgfx_v0400.dll]",5,0,0.30,0.00,"wpfgfx_v0400.dll",
49,"[wpfgfx_v0400.dll]",5,0,0.30,0.00,"wpfgfx_v0400.dll",
50,"[wpfgfx_v0400.dll]",5,0,0.30,0.00,"wpfgfx_v0400.dll",
51,"[wpfgfx_v0400.dll]",5,1,0.30,0.06,"wpfgfx_v0400.dll",
52,"[wpfgfx_v0400.dll]",4,0,0.24,0.00,"wpfgfx_v0400.dll",
53,"[wpfgfx_v0400.dll]",3,0,0.18,0.00,"wpfgfx_v0400.dll",
54,"[wpfgfx_v0400.dll]",2,0,0.12,0.00,"wpfgfx_v0400.dll",
55,"[wpfgfx_v0400.dll]",2,0,0.12,0.00,"wpfgfx_v0400.dll",
56,"[ntdll.dll]",2,0,0.12,0.00,"ntdll.dll",
57,"[ntdll.dll]",2,2,0.12,0.12,"ntdll.dll",
54,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
55,"[ntdll.dll]",1,1,0.06,0.06,"ntdll.dll",
53,"[ntdll.dll]",1,1,0.06,0.06,"ntdll.dll",
45,"[WindowsBase.ni.dll]",5,2,0.30,0.12,"WindowsBase.ni.dll",
46,"[WindowsBase.ni.dll]",3,0,0.18,0.00,"WindowsBase.ni.dll",
47,"[WindowsBase.ni.dll]",3,0,0.18,0.00,"WindowsBase.ni.dll",
48,"[WindowsBase.ni.dll]",3,0,0.18,0.00,"WindowsBase.ni.dll",
49,"[WindowsBase.ni.dll]",3,0,0.18,0.00,"WindowsBase.ni.dll",
50,"[WindowsBase.ni.dll]",3,0,0.18,0.00,"WindowsBase.ni.dll",
51,"[user32.dll]",3,0,0.18,0.00,"user32.dll",
52,"[win32u.dll]",2,0,0.12,0.00,"win32u.dll",
53,"[ntdll.dll]",2,0,0.12,0.00,"ntdll.dll",
54,"[ntdll.dll]",2,0,0.12,0.00,"ntdll.dll",
55,"[ntdll.dll]",2,0,0.12,0.00,"ntdll.dll",
56,"[ntdll.dll]",2,0,0.12,0.00,"ntdll.dll",
57,"[wow64.dll]",2,0,0.12,0.00,"wow64.dll",
58,"[wow64.dll]",2,0,0.12,0.00,"wow64.dll",
59,"[wow64cpu.dll]",2,0,0.12,0.00,"wow64cpu.dll",
60,"[wow64cpu.dll]",2,0,0.12,0.00,"wow64cpu.dll",
61,"[wow64.dll]",2,0,0.12,0.00,"wow64.dll",
62,"[wow64win.dll]",2,0,0.12,0.00,"wow64win.dll",
63,"[wow64win.dll]",2,0,0.12,0.00,"wow64win.dll",
64,"[wow64win.dll]",2,2,0.12,0.12,"wow64win.dll",
52,"[user32.dll]",1,0,0.06,0.00,"user32.dll",
53,"[win32u.dll]",1,0,0.06,0.00,"win32u.dll",
54,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
55,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
56,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
57,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
58,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
59,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
60,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
61,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
62,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
63,"[wow64win.dll]",1,0,0.06,0.00,"wow64win.dll",
64,"[wow64win.dll]",1,1,0.06,0.06,"wow64win.dll",
45,"[δ֪]",1,1,0.06,0.06,"[δ֪]",
45,"[clr.dll]",1,1,0.06,0.06,"clr.dll",
44,"[WindowsBase.ni.dll]",2,0,0.12,0.00,"WindowsBase.ni.dll",
45,"[WindowsBase.ni.dll]",2,0,0.12,0.00,"WindowsBase.ni.dll",
46,"[WindowsBase.ni.dll]",2,0,0.12,0.00,"WindowsBase.ni.dll",
47,"[WindowsBase.ni.dll]",2,0,0.12,0.00,"WindowsBase.ni.dll",
48,"[WindowsBase.ni.dll]",2,0,0.12,0.00,"WindowsBase.ni.dll",
49,"[WindowsBase.ni.dll]",2,0,0.12,0.00,"WindowsBase.ni.dll",
50,"[user32.dll]",2,0,0.12,0.00,"user32.dll",
51,"[user32.dll]",1,0,0.06,0.00,"user32.dll",
52,"[win32u.dll]",1,0,0.06,0.00,"win32u.dll",
53,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
54,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
55,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
56,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
57,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
58,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
59,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
60,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
61,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
62,"[wow64win.dll]",1,0,0.06,0.00,"wow64win.dll",
63,"[wow64win.dll]",1,1,0.06,0.06,"wow64win.dll",
51,"[win32u.dll]",1,0,0.06,0.00,"win32u.dll",
52,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
53,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
54,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
55,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
56,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
57,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
58,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
59,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
60,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
61,"[wow64win.dll]",1,0,0.06,0.00,"wow64win.dll",
62,"[wow64win.dll]",1,0,0.06,0.00,"wow64win.dll",
63,"[wow64win.dll]",1,1,0.06,0.06,"wow64win.dll",
43,"[WindowsBase.ni.dll]",3,0,0.18,0.00,"WindowsBase.ni.dll",
44,"[WindowsBase.ni.dll]",3,0,0.18,0.00,"WindowsBase.ni.dll",
45,"[WindowsBase.ni.dll]",3,0,0.18,0.00,"WindowsBase.ni.dll",
46,"[δ֪]",1,1,0.06,0.06,"[δ֪]",
46,"[user32.dll]",1,0,0.06,0.00,"user32.dll",
47,"[win32u.dll]",1,0,0.06,0.00,"win32u.dll",
48,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
49,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
50,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
51,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
52,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
53,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
54,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
55,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
56,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
57,"[wow64win.dll]",1,0,0.06,0.00,"wow64win.dll",
58,"[wow64win.dll]",1,1,0.06,0.06,"wow64win.dll",
46,"[WindowsBase.ni.dll]",1,0,0.06,0.00,"WindowsBase.ni.dll",
47,"[user32.dll]",1,0,0.06,0.00,"user32.dll",
48,"[win32u.dll]",1,0,0.06,0.00,"win32u.dll",
49,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
50,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
51,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
52,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
53,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
54,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
55,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
56,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
57,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
58,"[wow64win.dll]",1,0,0.06,0.00,"wow64win.dll",
59,"[wow64win.dll]",1,0,0.06,0.00,"wow64win.dll",
60,"[wow64win.dll]",1,1,0.06,0.06,"wow64win.dll",
41,"[PresentationCore.ni.dll]",3,1,0.18,0.06,"PresentationCore.ni.dll",
42,"[PresentationCore.ni.dll]",2,0,0.12,0.00,"PresentationCore.ni.dll",
43,"[PresentationCore.ni.dll]",2,0,0.12,0.00,"PresentationCore.ni.dll",
44,"[PresentationCore.ni.dll]",2,0,0.12,0.00,"PresentationCore.ni.dll",
45,"[PresentationCore.ni.dll]",2,0,0.12,0.00,"PresentationCore.ni.dll",
46,"[PresentationCore.ni.dll]",2,0,0.12,0.00,"PresentationCore.ni.dll",
47,"[PresentationCore.ni.dll]",2,0,0.12,0.00,"PresentationCore.ni.dll",
48,"[PresentationCore.ni.dll]",2,0,0.12,0.00,"PresentationCore.ni.dll",
49,"[PresentationCore.ni.dll]",1,0,0.06,0.00,"PresentationCore.ni.dll",
50,"[PresentationCore.ni.dll]",1,0,0.06,0.00,"PresentationCore.ni.dll",
51,"[PresentationCore.ni.dll]",1,1,0.06,0.06,"PresentationCore.ni.dll",
49,"[δ֪]",1,1,0.06,0.06,"[δ֪]",
41,"[PresentationFramework.ni.dll]",2,0,0.12,0.00,"PresentationFramework.ni.dll",
42,"[PresentationFramework.ni.dll]",2,0,0.12,0.00,"PresentationFramework.ni.dll",
43,"[PresentationFramework.ni.dll]",2,0,0.12,0.00,"PresentationFramework.ni.dll",
44,"[WindowsBase.ni.dll]",2,0,0.12,0.00,"WindowsBase.ni.dll",
45,"[WindowsBase.ni.dll]",2,0,0.12,0.00,"WindowsBase.ni.dll",
46,"[WindowsBase.ni.dll]",2,0,0.12,0.00,"WindowsBase.ni.dll",
47,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
48,"[user32.dll]",1,0,0.06,0.00,"user32.dll",
49,"[user32.dll]",1,0,0.06,0.00,"user32.dll",
50,"[user32.dll]",1,0,0.06,0.00,"user32.dll",
51,"[msctf.dll]",1,0,0.06,0.00,"msctf.dll",
52,"[user32.dll]",1,0,0.06,0.00,"user32.dll",
53,"[user32.dll]",1,0,0.06,0.00,"user32.dll",
54,"[msctf.dll]",1,0,0.06,0.00,"msctf.dll",
55,"[user32.dll]",1,1,0.06,0.06,"user32.dll",
47,"[WindowsBase.ni.dll]",1,0,0.06,0.00,"WindowsBase.ni.dll",
48,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
49,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
50,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
51,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
52,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
53,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
54,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
55,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
56,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
57,"[wow64cpu.dll]",1,1,0.06,0.06,"wow64cpu.dll",
40,"[mscorlib.ni.dll]",1,1,0.06,0.06,"mscorlib.ni.dll",
39,"[mscorlib.ni.dll]",1,1,0.06,0.06,"mscorlib.ni.dll",
38,"[mscorlib.ni.dll]",3,0,0.18,0.00,"mscorlib.ni.dll",
39,"[mscorlib.ni.dll]",3,0,0.18,0.00,"mscorlib.ni.dll",
40,"[mscorlib.ni.dll]",1,0,0.06,0.00,"mscorlib.ni.dll",
41,"[δ֪]",1,1,0.06,0.06,"[δ֪]",
40,"[clr.dll]",1,1,0.06,0.06,"clr.dll",
40,"[δ֪]",1,1,0.06,0.06,"[δ֪]",
36,"[WindowsBase.ni.dll]",24,0,1.42,0.00,"WindowsBase.ni.dll",
37,"[WindowsBase.ni.dll]",23,0,1.36,0.00,"WindowsBase.ni.dll",
38,"[user32.dll]",11,0,0.65,0.00,"user32.dll",
39,"[win32u.dll]",8,0,0.47,0.00,"win32u.dll",
40,"[ntdll.dll]",8,0,0.47,0.00,"ntdll.dll",
41,"[ntdll.dll]",8,0,0.47,0.00,"ntdll.dll",
42,"[ntdll.dll]",8,0,0.47,0.00,"ntdll.dll",
43,"[ntdll.dll]",8,0,0.47,0.00,"ntdll.dll",
44,"[wow64.dll]",8,0,0.47,0.00,"wow64.dll",
45,"[wow64.dll]",8,0,0.47,0.00,"wow64.dll",
46,"[wow64cpu.dll]",8,0,0.47,0.00,"wow64cpu.dll",
47,"[wow64cpu.dll]",8,0,0.47,0.00,"wow64cpu.dll",
48,"[wow64.dll]",8,0,0.47,0.00,"wow64.dll",
49,"[wow64win.dll]",8,0,0.47,0.00,"wow64win.dll",
50,"[wow64win.dll]",8,0,0.47,0.00,"wow64win.dll",
51,"[wow64win.dll]",8,8,0.47,0.47,"wow64win.dll",
39,"[user32.dll]",3,0,0.18,0.00,"user32.dll",
40,"[win32u.dll]",3,0,0.18,0.00,"win32u.dll",
41,"[ntdll.dll]",3,0,0.18,0.00,"ntdll.dll",
42,"[ntdll.dll]",3,0,0.18,0.00,"ntdll.dll",
43,"[ntdll.dll]",3,0,0.18,0.00,"ntdll.dll",
44,"[ntdll.dll]",3,0,0.18,0.00,"ntdll.dll",
45,"[wow64.dll]",3,0,0.18,0.00,"wow64.dll",
46,"[wow64.dll]",3,0,0.18,0.00,"wow64.dll",
47,"[wow64cpu.dll]",3,0,0.18,0.00,"wow64cpu.dll",
48,"[wow64cpu.dll]",3,0,0.18,0.00,"wow64cpu.dll",
49,"[wow64.dll]",3,0,0.18,0.00,"wow64.dll",
50,"[wow64win.dll]",3,0,0.18,0.00,"wow64win.dll",
51,"[wow64win.dll]",3,3,0.18,0.18,"wow64win.dll",
38,"[WindowsBase.ni.dll]",10,0,0.59,0.00,"WindowsBase.ni.dll",
39,"[WindowsBase.ni.dll]",10,0,0.59,0.00,"WindowsBase.ni.dll",
40,"[user32.dll]",6,0,0.35,0.00,"user32.dll",
41,"[win32u.dll]",6,0,0.35,0.00,"win32u.dll",
42,"[ntdll.dll]",6,0,0.35,0.00,"ntdll.dll",
43,"[ntdll.dll]",6,0,0.35,0.00,"ntdll.dll",
44,"[ntdll.dll]",6,0,0.35,0.00,"ntdll.dll",
45,"[ntdll.dll]",6,0,0.35,0.00,"ntdll.dll",
46,"[wow64.dll]",6,0,0.35,0.00,"wow64.dll",
47,"[wow64.dll]",6,0,0.35,0.00,"wow64.dll",
48,"[wow64cpu.dll]",6,0,0.35,0.00,"wow64cpu.dll",
49,"[wow64cpu.dll]",6,0,0.35,0.00,"wow64cpu.dll",
50,"[wow64.dll]",6,0,0.35,0.00,"wow64.dll",
51,"[wow64win.dll]",6,0,0.35,0.00,"wow64win.dll",
52,"[wow64win.dll]",6,0,0.35,0.00,"wow64win.dll",
53,"[wow64win.dll]",6,6,0.35,0.35,"wow64win.dll",
40,"[win32u.dll]",2,0,0.12,0.00,"win32u.dll",
41,"[ntdll.dll]",2,0,0.12,0.00,"ntdll.dll",
42,"[ntdll.dll]",2,0,0.12,0.00,"ntdll.dll",
43,"[ntdll.dll]",2,0,0.12,0.00,"ntdll.dll",
44,"[ntdll.dll]",2,0,0.12,0.00,"ntdll.dll",
45,"[wow64.dll]",2,0,0.12,0.00,"wow64.dll",
46,"[wow64.dll]",2,0,0.12,0.00,"wow64.dll",
47,"[wow64cpu.dll]",2,0,0.12,0.00,"wow64cpu.dll",
48,"[wow64cpu.dll]",2,0,0.12,0.00,"wow64cpu.dll",
49,"[wow64cpu.dll]",2,2,0.12,0.12,"wow64cpu.dll",
40,"[WindowsBase.ni.dll]",2,0,0.12,0.00,"WindowsBase.ni.dll",
41,"[user32.dll]",2,0,0.12,0.00,"user32.dll",
42,"[user32.dll]",1,0,0.06,0.00,"user32.dll",
43,"[win32u.dll]",1,0,0.06,0.00,"win32u.dll",
44,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
45,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
46,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
47,"[ntdll.dll]",1,0,0.06,0.00,"ntdll.dll",
48,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
49,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
50,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
51,"[wow64cpu.dll]",1,0,0.06,0.00,"wow64cpu.dll",
52,"[wow64.dll]",1,0,0.06,0.00,"wow64.dll",
